Masculine,Feminine,Neutral
actor,actress,cast-member
administrator,administratrix,administrator
author,authoress,author
bachelor,maid,REMOVE
bachelor,spinster,REMOVE
baron,baroness,noble
boy,girl,kid
boyfriend,girlfriend,lover
brave,squaw,REMOVE
brother,sister,sibling
count,countess,noble
dad,mum,parent
dad,mom,parent
doctor,lady-doctor,doctor
duke,duchess,noble
earl,countess,noble
editor,editress,editor
emperor,empress,ruler
father,mother,parent
father-in-law,mother-in-law,parent-in-law
fiance,fiancee,betrothed
fireman,firewomen,fire fighter
founder,foundress,founder
friar,nun,friar
gentleman,lady,REMOVE
governor,matron,governor
grandfather,grandmother,grandparent
grandson,granddaughter,grandchild
groom,bride,betrothed
headmaster,headmistress,headmaster
heir,heiress,REMOVE
hero,heroine,REMOVE
host,hostess,REMOVE
hunter,huntress,REMOVE
husband,wife,spouse
inheritor,inheritress,inheritor
inspector,inspectress,inspector
instructor,instructress,instructor
king,queen,ruler
lad,lass,child
landlord,landlady,land-owner
male,female,human
man,woman,person
manager,manageress,manager
manservant,maidservant,servant
mayor,mayoress,mayor
millionaire,millionairess,millionaire
monk,nun,REMOVE
murderer,murderess,REMOVE
nephew,niece,cousin
patron,patroness,patron
peer,peeress,peer
poet,poetess,poet
policeman,policewoman,police officer
porter,portess,porter
postmaster,postmistress,postmaster
priest,priestess,REMOVE
prince,princess,noble
prophet,prophetess,prophet
proprietor,proprietress,proprietor
prosecutor,prosecutrix,prosecutor
protector,protectress,REMOVE
salesman,saleswoman,sales person
son,daughter,child
son-in-law,daughter-in-law,child-in-law
songster,songstress,REMOVE
step-father,step-mother,step-parent
stepfather,stepmother,stepparent
steward,stewardess,steward
sultan,sultana,REMOVE
traitor,traitress,traitor
tutor,governess,tutor
uncle,aunt,relative
waiter,waitress,server
widower,widow,REMOVE
wizard,witch,mysterious person
swain,nymph,spirit
